J,R,E,M,algo,runtime,kendalls_tau,mae
726,0.21,Exp 2: S + Ordinal kj (DM) + X (Non-Normal),26,Conjugate Priors,3073.3796467781067,0.2036363636363636,10.00137741046832
726,0.21,Exp 2: S + Ordinal kj (DM) + X (Non-Normal),27,Conjugate Priors,1616.7606899738312,0.2642424242424241,12.30853994490358
726,0.21,Exp 2: S + Ordinal kj (DM) + X (Non-Normal),28,Conjugate Priors,1898.40616440773,0.2751515151515151,15.520661157024794
726,0.21,Exp 2: S + Ordinal kj (DM) + X (Non-Normal),29,Conjugate Priors,1584.4391310214996,0.1531313131313131,8.254820936639119
726,0.21,Exp 2: S + Ordinal kj (DM) + X (Non-Normal),30,Conjugate Priors,1836.510607242584,0.2036363636363636,11.672176308539944
726,0.21,Exp 2: S + Ordinal kj (DM) + X (Non-Normal),31,Conjugate Priors,1607.6655547618866,0.2763636363636363,16.994490358126722
726,0.21,Exp 2: S + Ordinal kj (DM) + X (Non-Normal),32,Conjugate Priors,2878.822158098221,0.2799999999999999,14.106060606060606
726,0.21,Exp 2: S + Ordinal kj (DM) + X (Non-Normal),33,Conjugate Priors,1830.8785467147827,0.221010101010101,11.47107438016529
726,0.21,Exp 2: S + Ordinal kj (DM) + X (Non-Normal),34,Conjugate Priors,1597.3687932491302,0.2032323232323231,9.646005509641872
726,0.21,Exp 2: S + Ordinal kj (DM) + X (Non-Normal),35,Conjugate Priors,1919.3218619823456,0.1626262626262625,6.144628099173554
726,0.21,Exp 2: S + Ordinal kj (DM) + X (Non-Normal),36,Conjugate Priors,1832.5024812221527,0.2694949494949494,14.741046831955924
726,0.21,Exp 2: S + Ordinal kj (DM) + X (Non-Normal),37,Conjugate Priors,1600.1832237243652,0.1775757575757575,8.442148760330578
726,0.21,Exp 2: S + Ordinal kj (DM) + X (Non-Normal),38,Conjugate Priors,2348.427741289139,0.1575757575757575,6.101928374655647
726,0.21,Exp 2: S + Ordinal kj (DM) + X (Non-Normal),39,Conjugate Priors,2912.6649446487427,0.2379797979797979,12.93939393939394
726,0.21,Exp 2: S + Ordinal kj (DM) + X (Non-Normal),40,Conjugate Priors,2988.8449623584747,0.3024242424242424,14.710743801652892
726,0.21,Exp 2: S + Ordinal kj (DM) + X (Non-Normal),41,Conjugate Priors,1753.6467876434326,0.3826262626262626,20.87052341597796
726,0.21,Exp 2: S + Ordinal kj (DM) + X (Non-Normal),42,Conjugate Priors,1934.9263677597048,0.1808080808080808,8.206611570247935
726,0.21,Exp 2: S + Ordinal kj (DM) + X (Non-Normal),43,Conjugate Priors,3193.737188577652,0.2038383838383837,9.742424242424242
726,0.21,Exp 2: S + Ordinal kj (DM) + X (Non-Normal),44,Conjugate Priors,1597.9809203147888,0.1894949494949494,9.741046831955924
726,0.21,Exp 2: S + Ordinal kj (DM) + X (Non-Normal),45,Conjugate Priors,1603.863568067551,0.3113131313131313,18.60330578512397
726,0.21,Exp 2: S + Ordinal kj (DM) + X (Non-Normal),46,Conjugate Priors,2077.005937099457,0.3456565656565656,20.93801652892562
726,0.21,Exp 2: S + Ordinal kj (DM) + X (Non-Normal),47,Conjugate Priors,2001.0600805282595,0.2466666666666666,13.4366391184573
726,0.21,Exp 2: S + Ordinal kj (DM) + X (Non-Normal),48,Conjugate Priors,1606.6760749816897,0.3248484848484848,16.699724517906336
726,0.21,Exp 2: S + Ordinal kj (DM) + X (Non-Normal),49,Conjugate Priors,2985.370318174362,0.2620202020202019,13.550964187327825
726,0.21,Exp 3: S + Ordinal kj (Uniform) + X (Normal),0,Conjugate Priors,2456.8149576187134,0.133131313131313,4.789256198347108
726,0.21,Exp 3: S + Ordinal kj (Uniform) + X (Normal),1,Conjugate Priors,2831.223538160324,0.2838383838383838,11.796143250688706
726,0.21,Exp 3: S + Ordinal kj (Uniform) + X (Normal),2,Conjugate Priors,1816.641309261322,0.1692929292929292,6.997245179063361
726,0.21,Exp 3: S + Ordinal kj (Uniform) + X (Normal),3,Conjugate Priors,2887.173045396805,0.1519191919191918,5.888429752066116
726,0.21,Exp 3: S + Ordinal kj (Uniform) + X (Normal),4,Conjugate Priors,2512.679530858993,0.1624242424242423,6.564738292011019
726,0.21,Exp 3: S + Ordinal kj (Uniform) + X (Normal),5,Conjugate Priors,2345.2423355579376,0.2034343434343434,8.261707988980715
726,0.21,Exp 3: S + Ordinal kj (Uniform) + X (Normal),6,Conjugate Priors,2154.252183675766,0.2153535353535353,8.27961432506887
726,0.21,Exp 3: S + Ordinal kj (Uniform) + X (Normal),7,Conjugate Priors,3184.2661051750183,0.1177777777777777,4.206611570247934
726,0.21,Exp 3: S + Ordinal kj (Uniform) + X (Normal),8,Conjugate Priors,2908.3281869888306,0.1995959595959595,7.502754820936639
726,0.21,Exp 3: S + Ordinal kj (Uniform) + X (Normal),9,Conjugate Priors,1841.520310163498,0.0632323232323231,2.6790633608815426
726,0.21,Exp 3: S + Ordinal kj (Uniform) + X (Normal),10,Conjugate Priors,1834.130171060562,0.1957575757575756,8.074380165289256
726,0.21,Exp 3: S + Ordinal kj (Uniform) + X (Normal),11,Conjugate Priors,1626.1688985824585,0.1193939393939393,3.9724517906336088
726,0.21,Exp 3: S + Ordinal kj (Uniform) + X (Normal),12,Conjugate Priors,1618.0731632709503,0.1828282828282827,6.710743801652892
726,0.21,Exp 3: S + Ordinal kj (Uniform) + X (Normal),13,Conjugate Priors,1642.748969078064,0.1503030303030302,6.107438016528926
726,0.21,Exp 3: S + Ordinal kj (Uniform) + X (Normal),14,Conjugate Priors,2924.788709640503,0.0779797979797979,2.96831955922865
726,0.21,Exp 3: S + Ordinal kj (Uniform) + X (Normal),15,Conjugate Priors,2956.294413328171,0.1389898989898989,4.787878787878788
726,0.21,Exp 3: S + Ordinal kj (Uniform) + X (Normal),16,Conjugate Priors,1599.0718598365784,0.1458585858585858,5.425619834710743
726,0.21,Exp 3: S + Ordinal kj (Uniform) + X (Normal),17,Conjugate Priors,1616.1384904384613,0.1595959595959595,6.426997245179064
726,0.21,Exp 3: S + Ordinal kj (Uniform) + X (Normal),18,Conjugate Priors,1711.2140200138092,0.1537373737373737,5.713498622589532
726,0.21,Exp 3: S + Ordinal kj (Uniform) + X (Normal),19,Conjugate Priors,2388.9161467552185,0.166060606060606,6.548209366391185
726,0.21,Exp 3: S + Ordinal kj (Uniform) + X (Normal),20,Conjugate Priors,3154.0530421733856,0.0892929292929292,3.2589531680440773
726,0.21,Exp 3: S + Ordinal kj (Uniform) + X (Normal),21,Conjugate Priors,2684.654510736465,0.1448484848484847,5.308539944903581
726,0.21,Exp 3: S + Ordinal kj (Uniform) + X (Normal),22,Conjugate Priors,2555.151143074036,0.1353535353535352,5.037190082644628
726,0.21,Exp 3: S + Ordinal kj (Uniform) + X (Normal),23,Conjugate Priors,1948.983583688736,0.1159595959595958,4.382920110192837
726,0.21,Exp 3: S + Ordinal kj (Uniform) + X (Normal),24,Conjugate Priors,2476.426878929138,0.1024242424242423,3.713498622589532
